Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Price_Group,Year_Group
ritz,2014,3.3499999046325684,5.590000152587891,27000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
sx4,2013,4.75,9.539999961853027,43000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
ciaz,2017,7.25,9.850000381469727,6900,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
wagon r,2011,2.8499999046325684,4.150000095367432,5200,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
swift,2014,4.599999904632568,6.869999885559082,42450,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
vitara brezza,2018,9.25,9.829999923706055,2071,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ciaz,2015,6.75,8.119999885559082,18796,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
s cross,2015,6.5,8.609999656677246,33429,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ciaz,2016,8.75,8.890000343322754,20273,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ciaz,2015,7.449999809265137,8.920000076293945,42367,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
alto 800,2017,2.8499999046325684,3.5999999046325684,2135,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
ciaz,2015,6.849999904632568,10.380000114440918,51000,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ciaz,2015,7.5,9.9399995803833,15000,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
ertiga,2015,6.099999904632568,7.710000038146973,26000,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
dzire,2009,2.25,7.210000038146973,77427,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
ertiga,2016,7.75,10.789999961853027,43000,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ertiga,2015,7.25,10.789999961853027,41678,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ertiga,2016,7.75,10.789999961853027,43000,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
wagon r,2015,3.25,5.090000152587891,35500,CNG,Dealer,Manual,0,2-5,Recientes (2015+)
sx4,2010,2.6500000953674316,7.980000019073486,41442,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
alto k10,2016,2.8499999046325684,3.950000047683716,25000,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
ignis,2017,4.900000095367432,5.710000038146973,2400,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
sx4,2011,4.400000095367432,8.010000228881836,50000,Petrol,Dealer,Automatic,0,2-5,Antiguos (<2015)
alto k10,2014,2.5,3.4600000381469727,45280,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
wagon r,2013,2.9000000953674316,4.409999847412109,56879,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
swift,2011,3.0,4.989999771118164,20000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
swift,2013,4.150000095367432,5.869999885559082,55138,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
swift,2017,6.0,6.489999771118164,16200,Petrol,Individual,Manual,0,5-10,Recientes (2015+)
alto k10,2010,1.9500000476837158,3.950000047683716,44542,Petrol,Dealer,Manual,0,0-2,Antiguos (<2015)
ciaz,2015,7.449999809265137,10.380000114440918,45000,Diesel,Dealer,Manual,0,5-10,Recientes (2015+)
ritz,2012,3.0999999046325684,5.980000019073486,51439,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
ritz,2011,2.3499999046325684,4.889999866485596,54200,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
swift,2014,4.949999809265137,7.489999771118164,39000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
ertiga,2014,6.0,9.949999809265137,45000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
dzire,2014,5.5,8.0600004196167,45000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
sx4,2011,2.950000047683716,7.739999771118164,49998,CNG,Dealer,Manual,0,2-5,Antiguos (<2015)
dzire,2015,4.650000095367432,7.199999809265137,48767,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
800,2003,0.3499999940395355,2.2799999713897705,127000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
alto k10,2016,3.0,3.759999990463257,10079,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
sx4,2003,2.25,7.980000019073486,62000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
baleno,2016,5.849999904632568,7.869999885559082,24524,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
alto k10,2014,2.549999952316284,3.9800000190734863,46706,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
sx4,2008,1.9500000476837158,7.150000095367432,58000,Petrol,Dealer,Manual,0,0-2,Antiguos (<2015)
dzire,2014,5.5,8.0600004196167,45780,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
omni,2012,1.25,2.690000057220459,50000,Petrol,Dealer,Manual,0,0-2,Antiguos (<2015)
ciaz,2014,7.5,12.039999961853027,15000,Petrol,Dealer,Automatic,0,5-10,Antiguos (<2015)
ritz,2013,2.6500000953674316,4.889999866485596,64532,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
wagon r,2006,1.0499999523162842,4.150000095367432,65000,Petrol,Dealer,Manual,0,0-2,Antiguos (<2015)
ertiga,2015,5.800000190734863,7.710000038146973,25870,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
ciaz,2017,7.75,9.289999961853027,37000,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
fortuner,2012,14.899999618530273,30.610000610351562,104707,Diesel,Dealer,Automatic,0,10-20,Antiguos (<2015)
fortuner,2015,23.0,30.610000610351562,40000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
innova,2017,18.0,19.770000457763672,15000,Diesel,Dealer,Automatic,0,10-20,Recientes (2015+)
fortuner,2013,16.0,30.610000610351562,135000,Diesel,Individual,Automatic,0,10-20,Antiguos (<2015)
innova,2005,2.75,10.210000038146973,90000,Petrol,Individual,Manual,0,2-5,Antiguos (<2015)
corolla altis,2009,3.5999999046325684,15.039999961853027,70000,Petrol,Dealer,Automatic,0,2-5,Antiguos (<2015)
etios cross,2015,4.5,7.269999980926514,40534,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
corolla altis,2010,4.75,18.540000915527344,50000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
etios g,2014,4.099999904632568,6.800000190734863,39485,Petrol,Dealer,Manual,1,2-5,Antiguos (<2015)
fortuner,2014,19.989999771118164,35.959999084472656,41000,Diesel,Dealer,Automatic,0,10-20,Antiguos (<2015)
corolla altis,2013,6.949999809265137,18.610000610351562,40001,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
etios cross,2015,4.5,7.699999809265137,40588,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
fortuner,2014,18.75,35.959999084472656,78000,Diesel,Dealer,Automatic,0,10-20,Antiguos (<2015)
fortuner,2015,23.5,35.959999084472656,47000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
fortuner,2017,33.0,36.22999954223633,6000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
etios liva,2014,4.75,6.949999809265137,45000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
innova,2017,19.75,23.149999618530273,11000,Petrol,Dealer,Automatic,0,10-20,Recientes (2015+)
fortuner,2010,9.25,20.450000762939453,59000,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
corolla altis,2011,4.349999904632568,13.739999771118164,88000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
corolla altis,2016,14.25,20.90999984741211,12000,Petrol,Dealer,Manual,0,10-20,Recientes (2015+)
etios liva,2014,3.950000047683716,6.760000228881836,71000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
corolla altis,2011,4.5,12.479999542236328,45000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
corolla altis,2013,7.449999809265137,18.610000610351562,56001,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
etios liva,2011,2.6500000953674316,5.710000038146973,43000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
etios cross,2014,4.900000095367432,8.930000305175781,83000,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
etios g,2015,3.950000047683716,6.800000190734863,36000,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
corolla altis,2013,5.5,14.680000305175781,72000,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
corolla,2004,1.5,12.350000381469727,135154,Petrol,Dealer,Automatic,0,0-2,Antiguos (<2015)
corolla altis,2010,5.25,22.829999923706055,80000,Petrol,Dealer,Automatic,0,5-10,Antiguos (<2015)
fortuner,2012,14.5,30.610000610351562,89000,Diesel,Dealer,Automatic,0,10-20,Antiguos (<2015)
corolla altis,2016,14.729999542236328,14.890000343322754,23000,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
etios gd,2015,4.75,7.849999904632568,40000,Diesel,Dealer,Manual,0,2-5,Recientes (2015+)
innova,2017,23.0,25.389999389648438,15000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
innova,2015,12.5,13.460000038146973,38000,Diesel,Dealer,Manual,0,10-20,Recientes (2015+)
innova,2005,3.490000009536743,13.460000038146973,197176,Diesel,Dealer,Manual,0,2-5,Antiguos (<2015)
camry,2006,2.5,23.729999542236328,142000,Petrol,Individual,Automatic,3,2-5,Antiguos (<2015)
land cruiser,2010,35.0,92.5999984741211,78000,Diesel,Dealer,Manual,0,20+,Antiguos (<2015)
corolla altis,2012,5.900000095367432,13.739999771118164,56000,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
etios liva,2013,3.450000047683716,6.050000190734863,47000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
etios g,2014,4.75,6.760000228881836,40000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
corolla altis,2009,3.799999952316284,18.610000610351562,62000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
innova,2014,11.25,16.09000015258789,58242,Diesel,Dealer,Manual,0,10-20,Antiguos (<2015)
innova,2005,3.509999990463257,13.699999809265137,75000,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
fortuner,2015,23.0,30.610000610351562,40000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
corolla altis,2008,4.0,22.780000686645508,89000,Petrol,Dealer,Automatic,0,2-5,Antiguos (<2015)
corolla altis,2012,5.849999904632568,18.610000610351562,72000,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
innova,2016,20.75,25.389999389648438,29000,Diesel,Dealer,Automatic,0,20+,Recientes (2015+)
corolla altis,2017,17.0,18.639999389648438,8700,Petrol,Dealer,Manual,0,10-20,Recientes (2015+)
corolla altis,2013,7.050000190734863,18.610000610351562,45000,Petrol,Dealer,Manual,0,5-10,Antiguos (<2015)
fortuner,2010,9.649999618530273,20.450000762939453,50024,Diesel,Dealer,Manual,0,5-10,Antiguos (<2015)
Royal Enfield Thunder 500,2016,1.75,1.899999976158142,3000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
UM Renegade Mojave,2017,1.7000000476837158,1.8200000524520874,1400,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
KTM RC200,2017,1.649999976158142,1.7799999713897705,4000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Dominar 400,2017,1.4500000476837158,1.600000023841858,1200,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2017,1.350000023841858,1.4700000286102295,4100,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
KTM RC390,2015,1.350000023841858,2.369999885559082,21700,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Hyosung GT250R,2014,1.350000023841858,3.450000047683716,16500,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Royal Enfield Thunder 350,2016,1.2000000476837158,1.5,18000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2017,1.2000000476837158,1.4700000286102295,11000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
KTM RC200,2016,1.2000000476837158,1.7799999713897705,6000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Thunder 350,2016,1.149999976158142,1.5,8700,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
KTM 390 Duke ,2014,1.149999976158142,2.4000000953674316,7000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Mahindra Mojo XT300,2016,1.149999976158142,1.399999976158142,35000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2015,1.149999976158142,1.4700000286102295,17000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2015,1.1100000143051147,1.4700000286102295,17500,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2013,1.100000023841858,1.4700000286102295,33000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Royal Enfield Thunder 500,2015,1.100000023841858,1.899999976158142,14000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2015,1.100000023841858,1.4700000286102295,26000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Thunder 500,2013,1.0499999523162842,1.899999976158142,5400,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar RS200,2016,1.0499999523162842,1.2599999904632568,5700,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Thunder 350,2011,1.0499999523162842,1.5,6900,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Royal Enfield Bullet 350,2016,1.0499999523162842,1.1699999570846558,6000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Royal Enfield Classic 350,2013,1.0,1.4700000286102295,46500,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Royal Enfield Classic 500,2012,0.949999988079071,1.75,11500,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Royal Enfield Classic 500,2009,0.8999999761581421,1.75,40000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Avenger 220,2017,0.8999999761581421,0.949999988079071,1300,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Avenger 150,2016,0.75,0.800000011920929,7000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda CB Hornet 160R,2017,0.800000011920929,0.8700000047683716,3000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ S V 2.0,2017,0.7799999713897705,0.8399999737739563,5000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda CB Hornet 160R,2017,0.75,0.8700000047683716,11000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ 16,2015,0.75,0.8199999928474426,18000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Avenger 220,2017,0.75,0.949999988079071,3500,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Avenger 220,2016,0.7200000286102295,0.949999988079071,500,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
TVS Apache RTR 160,2017,0.6499999761581421,0.8100000023841858,11800,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Pulsar 150,2015,0.6499999761581421,0.7400000095367432,5000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda CBR 150,2014,0.6499999761581421,1.2000000476837158,23500,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Extreme,2013,0.6499999761581421,0.7870000004768372,16000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Honda CB Hornet 160R,2016,0.6000000238418579,0.8700000047683716,15000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Avenger 220 dtsi,2015,0.6000000238418579,0.949999988079071,16600,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda CBR 150,2013,0.6000000238418579,1.2000000476837158,32000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Avenger 150 street,2016,0.6000000238418579,0.800000011920929,20000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ  v 2.0,2015,0.6000000238418579,0.8399999737739563,29000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ  v 2.0,2016,0.6000000238418579,0.8399999737739563,25000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Pulsar  NS 200,2014,0.6000000238418579,0.9900000095367432,25000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
TVS Apache RTR 160,2012,0.6000000238418579,0.8100000023841858,19000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Extreme,2014,0.550000011920929,0.7870000004768372,15000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Yamaha FZ S V 2.0,2015,0.550000011920929,0.8399999737739563,58000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Pulsar 220 F,2010,0.5199999809265137,0.9399999976158142,45000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar 220 F,2016,0.5099999904632568,0.9399999976158142,24000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
TVS Apache RTR 180,2011,0.5,0.8259999752044678,6000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Passion X pro,2016,0.5,0.550000011920929,31000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Pulsar NS 200,2012,0.5,0.9900000095367432,13000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar NS 200,2013,0.5,0.9900000095367432,45000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Yamaha Fazer ,2014,0.5,0.8799999952316284,8000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Honda Activa 4G,2017,0.47999998927116394,0.5099999904632568,4300,Petrol,Individual,Automatic,0,0-2,Recientes (2015+)
TVS Sport ,2017,0.47999998927116394,0.5199999809265137,15000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ S V 2.0,2015,0.47999998927116394,0.8399999737739563,23000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda Dream Yuga ,2017,0.47999998927116394,0.5400000214576721,8600,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda Activa 4G,2017,0.44999998807907104,0.5099999904632568,4000,Petrol,Individual,Automatic,0,0-2,Recientes (2015+)
Bajaj Avenger Street 220,2011,0.44999998807907104,0.949999988079071,24000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
TVS Apache RTR 180,2014,0.44999998807907104,0.8259999752044678,23000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar NS 200,2012,0.44999998807907104,0.9900000095367432,14500,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Avenger 220 dtsi,2010,0.44999998807907104,0.949999988079071,27000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Splender iSmart,2016,0.44999998807907104,0.5400000214576721,14000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Activa 3g,2016,0.44999998807907104,0.5400000214576721,500,Petrol,Individual,Automatic,0,0-2,Recientes (2015+)
Hero Passion Pro,2016,0.44999998807907104,0.550000011920929,1000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
TVS Apache RTR 160,2014,0.41999998688697815,0.8100000023841858,42000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Honda CB Trigger,2013,0.41999998688697815,0.7300000190734863,12000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Splender iSmart,2015,0.4000000059604645,0.5400000214576721,14000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Yamaha FZ S ,2012,0.4000000059604645,0.8299999833106995,5500,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Passion Pro,2015,0.4000000059604645,0.550000011920929,6700,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Bajaj Pulsar 135 LS,2014,0.4000000059604645,0.6399999856948853,13700,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Activa 4g,2017,0.4000000059604645,0.5099999904632568,1300,Petrol,Individual,Automatic,0,0-2,Recientes (2015+)
Honda CB Unicorn,2015,0.3799999952316284,0.7200000286102295,38600,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Hero Honda CBZ extreme,2011,0.3799999952316284,0.7870000004768372,75000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Honda Karizma,2011,0.3499999940395355,1.0499999523162842,30000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Honda Activa 125,2016,0.3499999940395355,0.5699999928474426,24000,Petrol,Individual,Automatic,0,0-2,Recientes (2015+)
TVS Jupyter,2014,0.3499999940395355,0.5199999809265137,19000,Petrol,Individual,Automatic,0,0-2,Antiguos (<2015)
Honda Karizma,2010,0.3100000023841858,1.0499999523162842,213000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Honda Passion Pro,2012,0.30000001192092896,0.5099999904632568,60000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Splender Plus,2016,0.30000001192092896,0.47999998927116394,50000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Honda CB Shine,2013,0.30000001192092896,0.5799999833106995,30000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Discover 100,2013,0.27000001072883606,0.4699999988079071,21000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Suzuki Access 125,2008,0.25,0.5799999833106995,1900,Petrol,Individual,Automatic,0,0-2,Antiguos (<2015)
TVS Wego,2010,0.25,0.5199999809265137,22000,Petrol,Individual,Automatic,0,0-2,Antiguos (<2015)
Honda CB twister,2013,0.25,0.5099999904632568,32000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Glamour,2013,0.25,0.5699999928474426,18000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Hero Super Splendor,2005,0.20000000298023224,0.5699999928474426,55000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar 150,2008,0.20000000298023224,0.75,60000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Discover 125,2012,0.20000000298023224,0.5699999928474426,25000,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Hero Hunk,2007,0.20000000298023224,0.75,49000,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Hero  Ignitor Disc,2013,0.20000000298023224,0.6499999761581421,24000,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Hero  CBZ Xtreme,2008,0.20000000298023224,0.7870000004768372,50000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj  ct 100,2015,0.18000000715255737,0.3199999928474426,35000,Petrol,Individual,Manual,0,0-2,Recientes (2015+)
Activa 3g,2008,0.17000000178813934,0.5199999809265137,500000,Petrol,Individual,Automatic,0,0-2,Antiguos (<2015)
Honda CB twister,2010,0.1599999964237213,0.5099999904632568,33000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Discover 125,2011,0.15000000596046448,0.5699999928474426,35000,Petrol,Individual,Manual,1,0-2,Antiguos (<2015)
Honda CB Shine,2007,0.11999999731779099,0.5799999833106995,53000,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
Bajaj Pulsar 150,2006,0.10000000149011612,0.75,92233,Petrol,Individual,Manual,0,0-2,Antiguos (<2015)
i20,2010,3.25,6.789999961853027,58000,Diesel,Dealer,Manual,1,2-5,Antiguos (<2015)
grand i10,2015,4.400000095367432,5.699999809265137,28200,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
i10,2011,2.950000047683716,4.599999904632568,53460,Petrol,Dealer,Manual,0,2-5,Antiguos (<2015)
eon,2015,2.75,4.429999828338623,28282,Petrol,Dealer,Manual,0,2-5,Recientes (2015+)
grand i10,2016,5.25,5.699999809265137,3493,Petrol,Dealer,Manual,1,5-10,Recientes (2015+)
xcent,2017,5.75,7.130000114440918,12479,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
grand i10,2015,5.150000095367432,5.699999809265137,34797,Petrol,Dealer,Automatic,0,5-10,Recientes (2015+)
i20,2017,7.900000095367432,8.100000381469727,3435,Petrol,Dealer,Manual,0,5-10,Recientes (2015+)
grand i10,2015,4.849999904632568,5.699999809265137,21125,Diesel,Dealer,Manual,0,2-5,Recientes (2015+)
